time_elapsed,explored_cells
51.25,4337
51.50,4352
51.75,4379
52.00,4392
52.25,4420
52.50,4455
52.75,4487
53.00,4520
53.25,4556
53.50,4607
53.75,4638
54.00,4685
54.25,4704
54.50,4730
54.75,4749
55.00,4765
55.25,4779
55.50,4789
55.75,4800
56.00,4811
56.25,4816
56.50,4824
56.75,4837
57.00,4844
57.25,4848
57.50,4860
57.75,4871
58.00,4880
58.25,4894
58.50,4906
58.75,4919
59.00,4929
59.25,4941
59.50,4950
59.75,4963
60.00,4974
60.25,4988
60.50,5003
60.75,5021
61.00,5057
61.25,5123
61.50,5154
61.75,5154
62.00,5154
62.25,5155
62.50,5155
62.75,5166
63.00,5168
63.25,5169
63.50,5184
63.75,5184
64.00,5185
64.25,5193
64.50,5200
64.75,5210
65.00,5223
65.25,5249
65.50,5263
65.75,5265
66.00,5277
66.25,5287
66.50,5290
66.75,5297
67.00,5307
67.25,5307
67.50,5309
67.75,5319
68.00,5332
68.25,5353
68.50,5371
68.75,5388
69.00,5409
69.25,5433
69.50,5449
69.75,5453
70.00,5460
70.25,5471
70.50,5476
70.75,5481
71.00,5484
71.25,5487
71.50,5493
71.75,5499
72.00,5508
72.25,5508
72.50,5509
72.75,5509
73.00,5510
73.25,5510
73.50,5512
73.75,5517
74.00,5524
74.25,5530
74.50,5545
74.75,5553
75.00,5561
75.25,5571
75.50,5585
75.75,5597
76.00,5620
76.25,5632
76.50,5644
76.75,5669
77.00,5689
77.25,5703
77.50,5716
77.75,5726
78.00,5730
78.25,5740
78.50,5753
78.75,5760
79.00,5767
79.25,5769
79.50,5773
79.75,5773
80.00,5774
80.25,5775
80.50,5777
80.75,5777
81.00,5781
81.25,5783
81.50,5786
81.75,5787
82.00,5790
82.25,5791
82.50,5793
82.75,5793
83.00,5796
83.25,5796
83.50,5806
83.75,5808
84.00,5821
84.25,5827
84.50,5828
84.75,5838
85.00,5844
85.25,5852
85.50,5862
85.75,5868
86.00,5878
86.25,5884
86.50,5891
86.75,5896
87.00,5898
87.25,5906
87.50,5907
87.75,5916
88.00,5916
88.25,5917
88.50,5919
88.75,5921
89.00,5924
89.25,5929
89.50,5930
89.75,5934
90.00,5938
90.25,5940
90.50,5949
90.75,5955
91.00,5961
91.25,5965
91.50,5971
91.75,5978
92.00,5984
92.25,5991
92.50,5994
92.75,6004
93.00,6020
93.25,6032
93.50,6048
93.75,6066
94.00,6080
94.25,6092
94.50,6104
94.75,6119
95.00,6132
95.25,6150
95.50,6155
95.75,6171
96.00,6183
96.25,6191
96.50,6194
96.75,6194
97.00,6194
97.25,6194
97.50,6194
97.75,6195
98.00,6195
98.25,6201
98.50,6203
98.75,6208
99.00,6214
99.25,6219
99.50,6221
99.75,6221
100.00,6224
100.25,6226
100.50,6229
100.75,6229
101.00,6229
101.25,6230
101.50,6230
101.75,6230
102.00,6230
102.25,6230
102.50,6230
102.75,6230
103.00,6230
103.25,6230
103.50,6230
103.75,6230
104.00,6230
104.25,6230
104.50,6230
104.75,6230
105.00,6230
105.25,6230
105.50,6230
105.75,6230
106.00,6230
106.25,6230
106.50,6230
106.75,6232
107.00,6235
107.25,6238
107.50,6240
107.75,6245
108.00,6248
108.25,6249
108.50,6252
108.75,6254
109.00,6256
109.25,6258
109.50,6262
109.75,6264
110.00,6266
110.25,6272
110.50,6272
110.75,6279
111.00,6284
111.25,6291
111.50,6298
111.75,6319
112.00,6329
112.25,6336
112.50,6343
112.75,6344
113.00,6344
113.25,6344
113.50,6344
113.75,6344
114.00,6344
114.25,6344
114.50,6344
114.75,6344
115.00,6344
115.25,6344
115.50,6345
115.75,6349
116.00,6350
116.25,6355
116.50,6363
116.75,6369
117.00,6371
117.25,6384
117.50,6392
117.75,6395
118.00,6405
118.25,6411
118.50,6426
118.75,6435
119.00,6461
119.25,6477
119.50,6502
119.75,6515
120.00,6526
120.25,6532
120.50,6541
120.75,6546
121.00,6550
121.25,6554
121.50,6556
121.75,6559
122.00,6559
122.25,6559
122.50,6559
122.75,6559
123.00,6559
123.25,6559
123.50,6560
123.75,6560
124.00,6560
124.25,6560
124.50,6565
124.75,6566
125.00,6566
125.25,6566
125.50,6566
125.75,6566
126.00,6566
126.25,6566
126.50,6569
126.75,6571
127.00,6573
127.25,6574
127.50,6574
127.75,6579
128.00,6580
128.25,6583
128.50,6586
128.75,6586
129.00,6587
129.25,6587
129.50,6587
129.75,6592
130.00,6592
130.25,6594
130.50,6594
130.75,6603
131.00,6622
131.25,6622
131.50,6623
131.75,6623
132.00,6623
132.25,6623
132.50,6623
132.75,6623
133.00,6623
133.25,6623
133.50,6623
133.75,6623
134.00,6623
134.25,6623
134.50,6623
134.75,6623
135.00,6623
135.25,6623
135.50,6623
135.75,6623
136.00,6623
136.25,6623
136.50,6623
136.75,6623
137.00,6623
137.25,6623
137.50,6623
137.75,6623
138.00,6623
138.25,6623
138.50,6623
138.75,6636
139.00,6636
139.25,6641
139.50,6645
139.75,6649
140.00,6656
140.25,6661
140.50,6673
140.75,6685
141.00,6694
141.25,6705
141.50,6719
141.75,6732
142.00,6750
142.25,6756
142.50,6764
142.75,6773
143.00,6780
143.25,6789
143.50,6801
143.75,6811
144.00,6824
144.25,6828
144.50,6839
144.75,6852
145.00,6862
145.25,6863
145.50,6863
145.75,6866
146.00,6866
146.25,6868
146.50,6875
146.75,6886
147.00,6896
147.25,6902
147.50,6921
147.75,6930
148.00,6947
148.25,6955
148.50,6962
148.75,6980
149.00,6998
149.25,7006
149.50,7021
149.75,7027
150.00,7032
150.25,7034
150.50,7047
150.75,7059
151.00,7062
151.25,7064
151.50,7066
151.75,7066
152.00,7072
152.25,7091
152.50,7091
152.75,7091
153.00,7091
153.25,7091
153.50,7091
153.75,7093
154.00,7101
154.25,7102
154.50,7102
154.75,7103
155.00,7112
155.25,7116
155.50,7123
155.75,7132
156.00,7138
156.25,7144
156.50,7145
156.75,7150
157.00,7176
157.25,7211
157.50,7266
157.75,7300
158.00,7332
158.25,7345
158.50,7358
158.75,7369
159.00,7382
159.25,7396
159.50,7411
159.75,7436
160.00,7453
160.25,7490
160.50,7511
160.75,7573
161.00,7610
161.25,7645
161.50,7692
161.75,7704
162.00,7706
162.25,7729
162.50,7731
162.75,7731
163.00,7731
163.25,7731
163.50,7731
163.75,7731
164.00,7731
164.25,7731
164.50,7739
164.75,7739
165.00,7739
165.25,7739
165.50,7743
165.75,7750
166.00,7779
166.25,7792
166.50,7803
166.75,7827
167.00,7840
167.25,7854
167.50,7866
167.75,7895
168.00,7908
168.25,7918
168.50,7932
168.75,7944
169.00,7959
169.25,7963
169.50,7971
169.75,7985
170.00,7986
170.25,7998
170.50,8005
170.75,8009
171.00,8013
171.25,8016
171.50,8020
171.75,8021
172.00,8022
172.25,8022
172.50,8031
172.75,8033
173.00,8033
173.25,8033
173.50,8033
173.75,8033
174.00,8033
174.25,8033
174.50,8033
174.75,8036
175.00,8039
175.25,8043
175.50,8052
175.75,8059
176.00,8065
176.25,8080
176.50,8092
176.75,8100
177.00,8108
177.25,8126
177.50,8148
177.75,8158
178.00,8199
178.25,8230
178.50,8260
178.75,8269
179.00,8281
179.25,8300
179.50,8312
179.75,8320
180.00,8330
180.25,8336
180.50,8346
180.75,8350
181.00,8354
181.25,8357
181.50,8366
181.75,8372
182.00,8382
182.25,8406
182.50,8422
182.75,8447
183.00,8455
183.25,8465
183.50,8472
183.75,8485
184.00,8491
184.25,8504
184.50,8520
184.75,8525
185.00,8533
185.25,8545
185.50,8558
185.75,8568
186.00,8581
186.25,8585
186.50,8588
186.75,8599
187.00,8603
187.25,8630
187.50,8646
187.75,8658
188.00,8682
188.25,8693
188.50,8704
188.75,8706
189.00,8709
189.25,8723
189.50,8742
189.75,8781
190.00,8833
190.25,8863
190.50,8895
190.75,8910
191.00,8937
191.25,8968
191.50,8977
191.75,9004
192.00,9015
192.25,9030
192.50,9035
192.75,9043
193.00,9050
193.25,9052
193.50,9052
193.75,9052
194.00,9053
194.25,9053
194.50,9056
194.75,9057
195.00,9068
195.25,9075
195.50,9100
195.75,9106
196.00,9106
196.25,9111
196.50,9127
196.75,9140
197.00,9150
197.25,9155
197.50,9162
197.75,9172
198.00,9178
198.25,9186
198.50,9207
198.75,9224
199.00,9282
199.25,9353
199.50,9399
199.75,9437
200.00,9461
200.25,9477
200.50,9492
200.75,9509
201.00,9510
201.25,9512
201.50,9521
201.75,9529
202.00,9534
202.25,9541
202.50,9551
202.75,9552
203.00,9555
203.25,9558
203.50,9564
203.75,9576
204.00,9591
204.25,9594
204.50,9597
204.75,9599
205.00,9603
205.25,9616
205.50,9617
205.75,9620
206.00,9622
206.25,9628
206.50,9635
206.75,9643
207.00,9650
207.25,9653
207.50,9655
207.75,9655
208.00,9655
208.25,9655
208.50,9655
208.75,9655
209.00,9655
209.25,9655
209.50,9655
209.75,9655
210.00,9655
210.25,9655
210.50,9656
210.75,9656
211.00,9656
211.25,9656
211.50,9656
211.75,9656
212.00,9656
212.25,9657
212.50,9659
212.75,9661
213.00,9662
213.25,9663
213.50,9675
213.75,9684
214.00,9702
214.25,9702
214.50,9719
214.75,9744
215.00,9758
215.25,9785
215.50,9825
215.75,9846
216.00,9849
216.25,9849
216.50,9855
216.75,9855
217.00,9855
217.25,9863
217.50,9872
217.75,9896
218.00,9914
218.25,9940
218.50,9953
218.75,9967
219.00,9974
219.25,9978
219.50,9982
219.75,9996
220.00,10003
220.25,10013
220.50,10020
220.75,10028
221.00,10039
221.25,10045
221.50,10053
221.75,10061
222.00,10073
222.25,10073
222.50,10073
222.75,10073
223.00,10075
223.25,10075
223.50,10079
223.75,10079
224.00,10081
224.25,10084
224.50,10108
224.75,10110
225.00,10123
225.25,10134
225.50,10139
225.75,10141
226.00,10162
226.25,10176
226.50,10182
226.75,10184
227.00,10186
227.25,10186
227.50,10186
227.75,10188
228.00,10189
228.25,10189
228.50,10189
228.75,10189
229.00,10189
229.25,10189
229.50,10189
229.75,10189
230.00,10189
230.25,10189
230.50,10189
230.75,10189
231.00,10189
231.25,10189
231.50,10189
231.75,10189
232.00,10189
232.25,10189
232.50,10189
232.75,10191
233.00,10191
233.25,10192
233.50,10196
233.75,10196
234.00,10198
234.25,10198
234.50,10198
234.75,10198
235.00,10198
235.25,10198
235.50,10198
235.75,10199
236.00,10199
236.25,10199
236.50,10199
236.75,10199
237.00,10199
237.25,10199
237.50,10199
237.75,10199
238.00,10199
238.25,10199
238.50,10199
238.75,10199
239.00,10199
239.25,10199
239.50,10199
239.75,10199
240.00,10199
240.25,10199
240.50,10199
240.75,10199
241.00,10199
241.25,10200
241.50,10200
241.75,10201
242.00,10202
242.25,10203
242.50,10203
242.75,10203
243.00,10204
243.25,10204
243.50,10204
243.75,10204
244.00,10206
244.25,10209
244.50,10210
244.75,10210
245.00,10213
245.25,10213
245.50,10218
245.75,10218
246.00,10218
246.25,10218
246.50,10218
246.75,10218
247.00,10218
247.25,10218
247.50,10218
247.75,10218
248.00,10218
248.25,10218
248.50,10218
248.75,10218
249.00,10218
249.25,10218
249.50,10218
249.75,10218
250.00,10218
250.25,10218
250.50,10218
250.75,10218
251.00,10218
251.25,10218
251.50,10218
251.75,10218
252.00,10218
252.25,10220
252.50,10221
252.75,10223
253.00,10226
253.25,10232
253.50,10237
253.75,10243
254.00,10249
254.25,10252
254.50,10254
254.75,10259
255.00,10269
255.25,10278
255.50,10296
255.75,10303
256.00,10317
256.25,10318
256.50,10318
256.75,10357
257.00,10367
257.25,10367
257.50,10376
257.75,10401
258.00,10410
258.25,10414
258.50,10430
258.75,10441
259.00,10469
259.25,10502
259.50,10518
259.75,10535
260.00,10543
260.25,10546
260.50,10560
260.75,10570
261.00,10577
261.25,10590
261.50,10602
261.75,10609
262.00,10612
262.25,10617
262.50,10629
262.75,10662
